iter	Passed	Remaining
0	2	2472
1	5	2930
2	9	3103
3	12	3142
4	15	3174
5	19	3204
6	23	3263
7	26	3314
8	30	3332
9	33	3350
10	37	3333
11	41	3383
12	44	3380
13	47	3371
14	51	3402
15	55	3403
16	59	3445
17	62	3427
18	66	3417
19	69	3407
20	73	3413
21	76	3411
22	80	3399
23	83	3405
24	87	3403
25	91	3419
26	95	3437
27	99	3444
28	102	3438
29	107	3463
30	110	3458
31	114	3465
32	117	3456
33	121	3465
34	126	3476
35	129	3478
36	133	3482
37	137	3486
38	141	3491
39	145	3491
40	149	3490
41	153	3494
42	157	3504
43	161	3510
44	165	3508
45	169	3518
46	173	3525
47	177	3522
48	181	3523
49	186	3538
50	190	3550
51	194	3553
52	198	3551
53	203	3564
54	207	3564
55	211	3565
56	215	3566
57	219	3569
58	223	3562
59	227	3557
60	231	3557
61	235	3557
62	239	3556
63	242	3552
64	246	3548
65	251	3552
66	255	3552
67	258	3548
68	262	3546
69	266	3543
70	271	3553
71	275	3550
72	279	3548
73	283	3549
74	288	3553
75	291	3545
76	295	3546
77	300	3550
78	304	3546
79	307	3539
80	311	3534
81	315	3529
82	319	3530
83	322	3518
84	326	3514
85	330	3510
86	334	3513
87	337	3502
88	341	3495
89	344	3485
90	348	3483
91	352	3477
92	355	3467
93	358	3457
94	361	3447
95	365	3441
96	368	3434
97	372	3424
98	375	3418
99	379	3413
100	383	3411
101	386	3406
102	390	3397
103	393	3388
104	396	3380
105	399	3371
106	403	3363
107	406	3354
108	409	3344
109	411	3333
110	415	3324
111	417	3311
112	420	3300
113	423	3289
114	425	3277
115	428	3268
116	431	3259
117	434	3249
118	437	3241
119	441	3234
120	444	3230
121	448	3230
122	452	3226
123	456	3224
124	459	3219
125	463	3212
126	466	3204
127	469	3195
128	472	3190
129	475	3184
130	479	3182
131	482	3174
132	485	3165
133	488	3157
134	491	3149
135	494	3144
136	498	3137
137	501	3134
138	505	3131
139	509	3130
140	514	3131
141	517	3125
142	520	3121
143	524	3116
144	528	3114
145	531	3109
146	534	3103
147	538	3098
148	541	3094
149	545	3090
150	548	3083
151	551	3077
152	554	3071
153	557	3064
154	560	3057
155	563	3050
156	566	3043
157	569	3037
158	573	3034
159	577	3030
160	580	3024
161	583	3016
162	586	3010
163	589	3002
164	592	2997
165	595	2989
166	597	2982
167	600	2975
168	603	2969
169	607	2965
170	610	2958
171	613	2952
172	616	2945
173	618	2937
174	621	2931
175	624	2926
176	627	2919
177	630	2912
178	651	2986
179	654	2980
180	657	2974
181	660	2967
182	663	2960
183	666	2956
184	670	2953
185	674	2953
186	678	2948
187	681	2943
188	684	2938
189	688	2935
190	691	2929
191	694	2922
192	697	2917
193	700	2911
194	704	2906
195	712	2922
196	716	2920
197	721	2921
198	724	2917
199	727	2911
200	731	2907
201	735	2904
202	738	2900
203	742	2895
204	745	2891
205	749	2889
206	753	2886
207	756	2881
208	759	2876
209	762	2870
210	766	2865
211	769	2861
212	772	2855
213	776	2850
214	779	2845
215	782	2839
216	786	2837
217	789	2832
218	793	2830
219	797	2826
220	800	2823
221	804	2820
222	808	2816
223	811	2812
224	815	2807
225	818	2804
226	822	2802
227	826	2797
228	829	2793
229	833	2789
230	836	2784
231	839	2779
232	843	2775
233	846	2771
234	850	2767
235	853	2762
236	856	2758
237	859	2753
238	863	2749
239	867	2745
240	870	2742
241	874	2739
242	877	2734
243	882	2733
244	886	2732
245	889	2727
246	893	2722
247	898	2724
248	902	2721
249	905	2716
250	908	2711
251	911	2706
252	915	2703
253	918	2698
254	922	2693
255	925	2689
256	928	2684
257	932	2681
258	935	2676
259	938	2671
260	941	2666
261	945	2662
262	948	2658
263	951	2653
264	955	2649
265	958	2644
266	962	2641
267	965	2636
268	968	2631
269	971	2627
270	975	2622
271	978	2618
272	981	2613
273	984	2608
274	987	2602
275	990	2597
276	993	2592
277	996	2588
278	999	2582
279	1002	2577
280	1005	2572
281	1008	2567
282	1011	2563
283	1014	2557
284	1017	2552
285	1020	2547
286	1023	2542
287	1027	2539
288	1030	2534
289	1032	2528
290	1035	2523
291	1038	2518
292	1041	2513
293	1044	2509
294	1047	2503
295	1050	2498
296	1053	2493
297	1056	2488
298	1060	2485
299	1062	2480
300	1066	2476
301	1069	2471
302	1072	2466
303	1075	2461
304	1077	2456
305	1081	2452
306	1084	2448
307	1087	2442
308	1090	2439
309	1094	2436
310	1097	2432
311	1101	2428
312	1104	2424
313	1108	2421
314	1111	2417
315	1114	2413
316	1117	2408
317	1120	2403
318	1124	2399
319	1127	2395
320	1130	2391
321	1133	2386
322	1136	2381
323	1139	2378
324	1142	2373
325	1145	2368
326	1148	2363
327	1151	2358
328	1154	2354
329	1157	2350
330	1160	2345
331	1163	2340
332	1166	2335
333	1168	2330
334	1172	2326
335	1175	2322
336	1177	2317
337	1180	2312
338	1184	2308
339	1187	2304
340	1190	2300
341	1193	2296
342	1196	2291
343	1199	2286
344	1201	2282
345	1205	2278
346	1208	2273
347	1210	2268
348	1213	2263
349	1216	2259
350	1219	2254
351	1222	2250
352	1225	2246
353	1228	2241
354	1231	2236
355	1233	2232
356	1236	2227
357	1239	2223
358	1242	2218
359	1245	2214
360	1248	2209
361	1251	2206
362	1254	2201
363	1257	2197
364	1260	2193
365	1263	2188
366	1266	2183
367	1269	2179
368	1272	2176
369	1276	2173
370	1279	2169
371	1282	2165
372	1285	2161
373	1288	2156
374	1291	2153
375	1294	2148
376	1297	2143
377	1300	2140
378	1304	2136
379	1307	2133
380	1310	2129
381	1313	2125
382	1316	2121
383	1320	2118
384	1323	2113
385	1326	2109
386	1329	2105
387	1332	2101
388	1335	2096
389	1337	2092
390	1340	2088
391	1343	2083
392	1346	2079
393	1349	2075
394	1352	2071
395	1355	2067
396	1357	2062
397	1360	2058
398	1363	2054
399	1367	2051
400	1370	2047
401	1374	2044
402	1377	2040
403	1381	2037
404	1384	2034
405	1388	2030
406	1391	2027
407	1394	2023
408	1398	2021
409	1402	2017
410	1405	2013
411	1408	2009
412	1411	2006
413	1415	2003
414	1418	1999
415	1421	1996
416	1424	1992
417	1428	1988
418	1432	1985
419	1435	1982
420	1438	1978
421	1441	1974
422	1445	1971
423	1449	1968
424	1452	1965
425	1455	1961
426	1458	1957
427	1462	1954
428	1465	1950
429	1469	1947
430	1472	1943
431	1475	1940
432	1479	1937
433	1482	1933
434	1486	1930
435	1489	1927
436	1493	1923
437	1497	1921
438	1501	1918
439	1505	1915
440	1508	1912
441	1513	1910
442	1516	1906
443	1520	1903
444	1523	1900
445	1527	1897
446	1531	1894
447	1534	1890
448	1537	1887
449	1540	1883
450	1544	1880
451	1547	1876
452	1550	1872
453	1554	1868
454	1557	1865
455	1560	1862
456	1564	1858
457	1567	1855
458	1571	1851
459	1574	1848
460	1578	1845
461	1581	1841
462	1584	1838
463	1587	1834
464	1591	1831
465	1595	1827
466	1598	1824
467	1601	1821
468	1605	1817
469	1609	1814
470	1612	1811
471	1615	1807
472	1619	1804
473	1622	1800
474	1625	1797
475	1628	1792
476	1631	1788
477	1634	1784
478	1637	1780
479	1641	1777
480	1643	1773
481	1646	1769
482	1649	1765
483	1652	1761
484	1655	1757
485	1658	1754
486	1661	1750
487	1664	1746
488	1668	1743
489	1673	1741
490	1677	1738
491	1680	1735
492	1683	1731
493	1686	1727
494	1689	1723
495	1692	1720
496	1696	1716
497	1699	1712
498	1702	1709
499	1705	1705
500	1709	1702
501	1713	1699
502	1721	1700
503	1726	1698
504	1729	1695
505	1733	1692
506	1736	1688
507	1739	1684
508	1742	1680
509	1745	1676
510	1748	1672
511	1751	1669
512	1754	1665
513	1757	1661
514	1760	1657
515	1762	1653
516	1766	1650
517	1769	1646
518	1772	1642
519	1775	1638
520	1778	1634
521	1781	1631
522	1784	1627
523	1786	1623
524	1789	1619
525	1792	1615
526	1795	1611
527	1798	1607
528	1801	1604
529	1804	1600
530	1807	1596
531	1810	1592
532	1813	1588
533	1815	1584
534	1819	1581
535	1821	1577
536	1824	1573
537	1827	1569
538	1830	1565
539	1834	1562
540	1836	1558
541	1840	1555
542	1843	1551
543	1846	1547
544	1849	1544
545	1853	1541
546	1856	1537
547	1859	1533
548	1862	1530
549	1866	1527
550	1869	1523
551	1872	1519
552	1875	1516
553	1878	1512
554	1881	1508
555	1884	1504
556	1887	1501
557	1890	1497
558	1893	1493
559	1896	1489
560	1901	1488
561	1904	1484
562	1907	1480
563	1910	1476
564	1913	1473
565	1916	1469
566	1919	1466
567	1923	1462
568	1926	1459
569	1930	1456
570	1933	1452
571	1936	1449
572	1939	1445
573	1942	1442
574	1946	1438
575	1949	1435
576	1953	1431
577	1956	1428
578	1959	1425
579	1963	1421
580	1966	1417
581	1969	1414
582	1972	1410
583	1976	1407
584	1980	1404
585	1983	1401
586	1986	1397
587	1990	1394
588	1994	1391
589	1998	1388
590	2001	1385
591	2005	1381
592	2008	1378
593	2012	1375
594	2015	1371
595	2018	1368
596	2022	1364
597	2025	1361
598	2029	1358
599	2032	1354
600	2035	1351
601	2038	1347
602	2042	1344
603	2045	1340
604	2048	1337
605	2051	1333
606	2055	1330
607	2058	1327
608	2062	1324
609	2066	1321
610	2070	1318
611	2074	1315
612	2078	1311
613	2081	1308
614	2084	1305
615	2088	1301
616	2091	1298
617	2095	1295
618	2098	1291
619	2102	1288
620	2105	1285
621	2108	1281
622	2112	1278
623	2115	1274
624	2119	1271
625	2123	1268
626	2126	1265
627	2129	1261
628	2133	1258
629	2136	1255
630	2140	1251
631	2143	1248
632	2147	1244
633	2150	1241
634	2153	1238
635	2157	1234
636	2161	1231
637	2164	1228
638	2168	1224
639	2171	1221
640	2175	1218
641	2178	1214
642	2182	1211
643	2185	1208
644	2189	1204
645	2192	1201
646	2195	1197
647	2198	1194
648	2201	1190
649	2204	1186
650	2207	1183
651	2209	1179
652	2212	1175
653	2215	1172
654	2219	1168
655	2222	1165
656	2225	1162
657	2228	1158
658	2231	1154
659	2234	1151
660	2237	1147
661	2240	1143
662	2243	1140
663	2245	1136
664	2248	1132
665	2252	1129
666	2254	1125
667	2257	1122
668	2260	1118
669	2263	1114
670	2266	1111
671	2269	1107
672	2272	1104
673	2275	1100
674	2278	1097
675	2281	1093
676	2284	1090
677	2288	1086
678	2291	1083
679	2294	1079
680	2297	1076
681	2300	1072
682	2303	1069
683	2306	1065
684	2309	1061
685	2312	1058
686	2315	1055
687	2319	1051
688	2322	1048
689	2326	1045
690	2329	1041
691	2332	1038
692	2335	1034
693	2338	1031
694	2341	1027
695	2344	1023
696	2347	1020
697	2350	1016
698	2353	1013
699	2356	1009
700	2359	1006
701	2362	1002
702	2365	999
703	2368	995
704	2371	992
705	2374	988
706	2378	985
707	2381	982
708	2384	978
709	2387	974
